period,monthly,weekly
2006-10-31,1.0,
2006-11-30,1.0,
2006-12-31,1.0,
2007-01-31,1.0,
2007-02-28,1.0,
2007-03-31,1.0,
2007-04-30,1.0,
2007-05-31,1.0,
2007-06-30,1.0,
2007-07-31,1.0,
2007-08-31,1.0,
2007-09-30,1.0,
2007-10-31,1.1801866733695017,
2007-11-30,1.292784291539182,
2007-12-31,1.064683424187193,
2008-01-31,1.115693790713429,
2008-02-29,1.137403954070099,
2008-03-31,1.1395927119460156,
2008-04-30,1.1549743588430257,
2008-05-31,1.2835649987967677,
2008-06-30,1.224640168021759,
2008-07-31,1.1504895673427198,
2008-08-31,1.1484908167743895,
2008-09-30,1.2223522895784982,
2008-10-31,1.268893819134082,
2008-11-30,1.1926933610865298,
2008-12-31,1.1733063221231514,
2009-01-31,1.2193859239921063,
2009-02-28,1.1396883894128622,
2009-03-31,0.9129857792943926,
2009-04-30,0.8831037677388857,
2009-05-31,0.8785703247304347,
2009-06-30,0.878052300116964,
2009-07-31,0.8717340350190232,
2009-08-31,0.8503047930899863,
2009-09-30,0.8479192931569239,
2009-10-31,0.836548279397977,
2009-11-30,0.8689070337914525,
2009-12-31,0.7914022768196671,
2010-01-31,0.8241282066252967,
2010-02-28,0.841130492657083,
2010-03-31,0.849256657830558,
2010-04-30,0.8600671803513007,
2010-05-31,0.8205333177522243,
2010-06-30,0.815580108047864,
2010-07-31,0.812866683038577,
2010-08-31,0.793733793494052,
2010-09-30,0.8112879292457611,
2010-10-31,0.8195347205031586,
2010-11-30,0.7295770573614198,
2010-12-31,0.6814713009970342,
2011-01-31,0.6913475618515903,
2011-02-28,0.70421233455552,
2011-03-31,0.6866465739306357,
2011-04-30,0.6969218036366954,
2011-05-31,0.7334398989684042,
2011-06-30,0.7399901947172753,
2011-07-31,0.8055506882847411,
2011-08-31,0.812029505115675,
2011-09-30,0.7570675468181196,
2011-10-31,0.7803286162895029,
2011-11-30,0.8062312651747284,
2011-12-31,0.647255361231303,
2012-01-31,0.6183072318475075,
2012-02-29,0.6344743287427956,
2012-03-31,0.6658078229375081,
2012-04-30,0.7289620618648528,
2012-05-31,0.7146670548970343,
2012-06-30,0.7464442496603991,
2012-07-31,0.7156200579931832,
2012-08-31,0.7036506905351341,
2012-09-30,0.7025789627515932,
2012-10-31,0.7143182287372298,
2012-11-30,0.6747488719465643,
2012-12-31,0.6500757322766358,
2013-01-31,0.6817783658106092,
2013-02-28,0.6968616618561669,
2013-03-31,0.694674744886022,
2013-04-30,0.6486054031661767,
2013-05-31,0.6330596319598268,
2013-06-30,0.6579766473888498,
2013-07-31,0.6484446902741117,
2013-08-31,0.6756505811123072,
2013-09-30,0.6723870964646254,
2013-10-31,0.7277630752905975,
2013-11-30,0.7289604444010918,
2013-12-31,0.6897037090485728,
2014-01-31,0.7179238419134824,
2014-02-28,0.6786459188606584,
2014-03-31,0.5923638704183208,
2014-04-30,0.6211198318713249,
2014-05-31,0.6205714908030021,
2014-06-30,0.5977064353218218,
2014-07-31,0.5951450067084579,
2014-08-31,0.621502132725076,
2014-09-30,0.608241486903363,
2014-10-31,0.6437792739913676,
2014-11-30,0.645893005194839,
2014-12-31,0.7544451359332336,
2015-01-31,0.7100380870965053,
2015-02-28,0.7319751182859625,
2015-03-31,0.6469333087666153,
2015-04-30,0.6899617008447618,
2015-05-31,0.7022342232163471,
2015-06-30,0.7437468973346771,
